KEGG_ID,Search_Item
cne04011,MAPK signaling pathway - yeast 
cng04011,MAPK signaling pathway - yeast 
cal04011,MAPK signaling pathway - yeast 
rsx04011,MAPK signaling pathway - yeast 
cne04138,Autophagy - yeast 
cng04138,Autophagy - yeast 
cal04138,Autophagy - yeast 
cne04139,Mitophagy - yeast 
ztr04011,MAPK signaling pathway - yeast 
cng04139,Mitophagy - yeast 
cal04139,Mitophagy - yeast 
rsx04138,Autophagy - yeast 
cne04111,Cell cycle - yeast 
cne04113,Meiosis - yeast 
cng04111,Cell cycle - yeast 
cal04111,Cell cycle - yeast 
rsx04139,Mitophagy - yeast 
bfu04011,MAPK signaling pathway - yeast 
cng04113,Meiosis - yeast 
cal04113,Meiosis - yeast 
afm04011,MAPK signaling pathway - yeast 
rsx04111,Cell cycle - yeast 
rsx04113,Meiosis - yeast 
ztr04138,Autophagy - yeast 
ztr04139,Mitophagy - yeast 
bfu04138,Autophagy - yeast 
ztr04111,Cell cycle - yeast 
afm04138,Autophagy - yeast 
ztr04113,Meiosis - yeast 
bfu04139,Mitophagy - yeast 
afm04139,Mitophagy - yeast 
bfu04111,Cell cycle - yeast 
bfu04113,Meiosis - yeast 
afm04111,Cell cycle - yeast 
afm04113,Meiosis - yeast 
